CENTRO DE COSTO,AREA,UNIDAD,SUBUNIDAD,SEDE,OFICINA / AREA,UBICACIÓN,MODELO INSTALADO,SERIE,IP,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,OWNER,TIPO
200,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Cusco,Plataforma,MX722adhe,7464939022PWC,118.205.20.72,av el Sol 366,Cusco,Cusco,Cusco,Lexmark,Contrato 2021
201,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Wanchaq,Sub Gerencia,MX722adhe,7464939022PWZ,118.206.12.68,av Garcilazo 300,Wanchaq,Cusco,Cusco,Lexmark,Contrato 2021
201,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Wanchaq,Plataforma,MX722adhe,7464939022R12,118.206.12.69,av Garcilazo 300,Wanchaq,Cusco,Cusco,Lexmark,Contrato 2021
202,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia Ayacucho,Plataforma,MX722adhe,7464939022R37,118.206.14.68,c Portal Union 24,Ayacucho,Huamanga,Ayacucho,Lexmark,Contrato 2021
202,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia Ayacucho,Plataforma,MX722adhe,7464939022R03,118.206.14.69,c Portal Union 24,Ayacucho,Huamanga,Ayacucho,Lexmark,Contrato 2021
203,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Provincia,Agencia San Martin,Sala Prime,MX432adwe,701934240K201,118.206.16.70,av San Martin 1144 Urb San Isidro,Ica,Ica,Ica,Lexmark,Contrato 2021
203,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Provincia,Agencia San Martin,Sub Gerencia,MX722adhe,74641050242W9,118.206.16.68,av San Martin 1144 Urb San Isidro,Ica,Ica,Ica,Lexmark,Contrato 2021
203,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Provincia,Agencia San Martin,Comercial,MX722adhe,74641020241C1,118.206.16.69,av San Martin 1144 Urb San Isidro,Ica,Ica,Ica,Lexmark,Contrato 2021
204,Banca Empresa Y Corporativa,Gerencia Regional Be 2,Gerencia Regional Be 2,Provincia,Banca Empresa Cusco,Banca Empresa,MX722adhe,7464939022PCK,118.205.20.73,av el Sol 366,Cusco,Cusco,Cusco,Lexmark,Contrato 2021
204,Banca Empresa Y Corporativa,Gerencia Regional Be 2,Gerencia Regional Be 2,Provincia,Banca Empresa Cusco,Banca Empresa,MX722adhe,7464939022PDD,118.205.20.74,av el Sol 366,Cusco,Cusco,Cusco,Lexmark,Contrato 2021
205,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Tintaya,Gerencia,MX722adhe,7464049023X1X,118.207.248.68,Av San Martin 331,Espinar,Espinar,Cusco,Lexmark,Contrato 2021
205,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Tintaya,Gerencia,MX722adhe,7464939022R43,118.245.45.11,Av San Martin 331,Espinar,Espinar,Cusco,Lexmark,Contrato 2021
208,Banca Comercial,Division Sur,Division Sur,Provincia,Agencia Huayruropata,Plataforma,MX722adhe,7464102024189,118.206.4.68,Av Huayruropata N 1024,Wanchaq,Cusco,Cusco,Lexmark,Contrato 2021
208,Banca Comercial,Division Sur,Division Sur,Provincia,Agencia Huayruropata,Sub Gerencia,MX722adhe,74641101246H9,118.206.4.69,Av Huayruropata N 1024,Wanchaq,Cusco,Cusco,Lexmark,Contrato 2021
210,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Huanuco,Atencion al Cliente,MX722adhe,746410302421L,118.206.20.68,Jr Independencia 1601 1799,Huanuco,Huanuco,Huanuco,Lexmark,Contrato 2021
210,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Huanuco,Gerencia,MX722adhe,746410202419B,118.206.20.69,Jr Independencia 1601 1799,Huanuco,Huanuco,Huanuco,Lexmark,Contrato 2021
211,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Lima,Agencia Canete,Operaciones,MX722adhe,74641101246K3,118.206.22.68,av Dos de Mayo 434  438,San Vicente de Cañete,Cañete,Lima,Lexmark,Contrato 2021
