CENTRO DE COSTO,AREA,UNIDAD,SUBUNIDAD,SEDE,OFICINA / AREA,UBICACIÓN,MODELO INSTALADO,SERIE,IP,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,OWNER,TIPO
249,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Trujillo,Atencion al Cliente,MX722adhe,746410302420R,118.205.2.70,Jr Francisco Pizarro 620,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
249,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Trujillo,Atencion al Cliente,MX722adhe,7464102024176,118.205.2.71,Jr Francisco Pizarro 620,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
249,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Trujillo_Descentralizada,Fundo Camposol Viru,MX522adhe,701701130LPCZ,118.205.224.68,Jr Francisco Pizarro 620,Viru,Trujillo,La Libertad,Lexmark,Contrato 2021
250,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Primavera,Plataforma,MX722adhe,746410202415D,118.206.70.68,av Nicolas de Pierola 766,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
250,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Primavera,Plataforma,MX722adhe,74641020241CL,118.206.70.69,av Nicolas de Pierola 766,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
251,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Mcdo Mayorista,Atencion Al Cliente,MX722adhe,746410302420M,118.206.72.68,av Vallejo 268,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
251,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Mcdo Mayorista,Atencion Al Cliente,MX722adhe,746410302421F,118.206.72.69,av Vallejo 268,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
252,Banca Comercial,Gt Callao San Miguel,Gt Callao San Miguel,Lima,Agencia Mall Aventura Plaza,Sub Gerencia,MX722adhe,74641101246DB,118.206.74.68,Av Oscar R Benavides 3866,Bellavista,Callao,Callao,Lexmark,Contrato 2021
252,Banca Comercial,Gt Callao San Miguel,Gt Callao San Miguel,Lima,Agencia Mall Aventura Plaza,Plataforma,MX722adhe,746411112474T,118.206.74.69,Av Oscar R Benavides 3866,Bellavista,Callao,Callao,Lexmark,Contrato 2021
253,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Lima,Agencia Real Plaza Pro,Plataforma,MX722adhe,746410202416C,118.206.76.68,av Alfredo Mendiola 7058,San Martin De Porres,Lima,Lima,Lexmark,Contrato 2021
254,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Larco Trujillo,Sub Gerencia,MX722adhe,74641030241ZX,118.206.78.68,av Larco 261,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
254,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Larco Trujillo,Atencion al Cliente,MX722adhe,746410302421K,118.206.78.69,av Larco 261,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
256,Banca Comercial,Gt Lima Centro,Gt Lima Centro,Lima,Agencia El Muro,Sub Gerencia,MX722adhe,746411112476C,118.206.80.68,Av Wiesse Tienda Programa,San Juan de Lurigancho,Lima,Lima,Lexmark,Contrato 2021
256,Banca Comercial,Gt Lima Centro,Gt Lima Centro,Lima,Agencia El Muro,Banca Negocio,MX722adhe,746411112477Y,118.206.80.69,Av Wiesse Tienda Programa,San Juan de Lurigancho,Lima,Lima,Lexmark,Contrato 2021
257,Banca Comercial,Gt Lima Centro,Gt Lima Centro,Lima,Agencia Gran Chimu,Sala Prime,MX432adwe,701934240K1YC,118.206.82.69,av Gran Chimu 789 Urb Zarate,San Juan de Lurigancho,Lima,Lima,Lexmark,Contrato 2021
257,Banca Comercial,Gt Lima Centro,Gt Lima Centro,Lima,Agencia Gran Chimu,Sub Gerencia,MX722adhe,74641050242TD,118.206.82.68,av Gran Chimu 789 Urb Zarate,San Juan de Lurigancho,Lima,Lima,Lexmark,Contrato 2021
258,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Larapa,Atencion al Cliente,MX722adhe,7464939022P45,118.206.84.68,URB CACHIMAYO C 21 A SAN SEBASTIAN,San Jeronimo,Cusco,Cusco,Lexmark,Contrato 2021
258,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Larapa,Atencion al Cliente,MX722adhe,7464939022PTR,118.206.84.69,URB CACHIMAYO C 21 A SAN SEBASTIAN,San Jeronimo,Cusco,Cusco,Lexmark,Contrato 2021
259,Banca Comercial,Gt Callao San Miguel,Gt Callao San Miguel,Lima,Agencia Cc Canta Callao,Sub Gerencia,MX722adhe,746411112478W,118.206.86.68,av Canta Callao Esq Bertello,Callao,Callao,Lima,Lexmark,Contrato 2021
259,Banca Comercial,Gt Callao San Miguel,Gt Callao San Miguel,Lima,Agencia Cc Canta Callao,Plataforma,MX722adhe,746411112476Z,118.206.86.69,av Canta Callao Esq Bertello,Callao,Callao,Lima,Lexmark,Contrato 2021
260,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Huaraz,Operaciones,MX722adhe,7464049023WX0,118.206.88.68,c 2 Esq Jr Jose Sucre,Huaraz,Huaraz,Ancash,Lexmark,Contrato 2021
260,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Huaraz,Comercial,MX722adhe,7464939022PCH,118.206.88.69,c 2 Esq Jr Jose Sucre,Huaraz,Huaraz,Ancash,Lexmark,Contrato 2021
261,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Lima,Agencia Cc Mall Del Sur,Sub Gerencia,MX722adhe,7464049023X24,118.206.90.68,av Los Lirios 301,San Juan de Miraflores,Lima,Lima,Lexmark,Contrato 2021
261,Banca Comercial,Gt Sur Chico,Gt Sur Chico,Lima,Agencia Cc Mall Del Sur,Plataforma,MX722adhe,74641141248L8,118.206.90.69,av Los Lirios 301,San Juan de Miraflores,Lima,Lima,Lexmark,Contrato 2021
262,Banca Comercial,Gt Surco La Molina,Gt Surco La Molina,Lima,Agencia La Planicie,Sub Gerencia,MX722adhe,74641020241CX,118.206.92.68,av Ricardo Elias Aparicio 675,La Molina,Lima,Lima,Lexmark,Contrato 2021
262,Banca Comercial,Gt Surco La Molina,Gt Surco La Molina,Lima,Agencia La Planicie,Operaciones,MX722adhe,7464049023X0V,118.206.92.69,av Ricardo Elias Aparicio 675,La Molina,Lima,Lima,Lexmark,Contrato 2021
263,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Puerto Maldonado,Operaciones,MX722adhe,74641050242VC,118.206.94.68,Jr Arequipa 245 249,Tambopata,Tambopata,Madre De Dios,Lexmark,Contrato 2021
263,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Puerto Maldonado,Operaciones,MX722adhe,74641050242TT,118.206.94.69,Jr Arequipa 245 249,Tambopata,Tambopata,Madre De Dios,Lexmark,Contrato 2021
264,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Lima,Agencia Chancay,Sub Gerencia,MX722adhe,74641030241ZZ,118.206.96.68,c Diego Lopez de Zuniga 262,Chancay,Huaral,Lima,Lexmark,Contrato 2021
264,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Lima,Agencia Chancay,Ventanilla,MX722adhe,74641030241YY,118.206.96.69,c Diego Lopez de Zuniga 262,Chancay,Huaral,Lima,Lexmark,Contrato 2021
265,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Tumbes,Sub Gerencia,MX722adhe,74641050242V4,118.206.98.68,paseo los Libertadores 237,Tumbes,Tumbes,Tumbes,Lexmark,Contrato 2021
265,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Tumbes,Plataforma,MX722adhe,74641050242R9,118.206.98.69,paseo los Libertadores 237,Tumbes,Tumbes,Tumbes,Lexmark,Contrato 2021
266,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia Real Plaza Huancayo,Operaciones,MX722adhe,74641050242VZ,118.206.100.68,ESTACION FERROVIARIA HUANCAYO S/N,Huancayo,Huancayo,Junin,Lexmark,Contrato 2021
266,Banca Comercial,Gt Centro,Gt Centro,Provincia,Agencia Real Plaza Huancayo,Ventanilla,MX722adhe,7464049023WYC,118.206.100.69,Estacion Ferroviaria Huancayo S/N,Huancayo,Huancayo,Junin,Lexmark,Contrato 2021
267,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Piura,Sub Gerencia,MX722adhe,746410302421W,118.205.30.68,c Tacna 598 Ayacucho 440,Piura,Piura,Piura,Lexmark,Contrato 2021
267,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Piura,Plataforma,MX722adhe,74641050242TK,118.205.30.69,c Tacna 598 Ayacucho 440,Piura,Piura,Piura,Lexmark,Contrato 2021
267,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Piura,Ventanilla,MX722adhe,7464103024220,118.205.30.70,c Tacna 598 Ayacucho 440,Piura,Piura,Piura,Lexmark,Contrato 2021
267,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Piura,Banqueros,MX722adhe,74641050242RR,118.205.30.71,c Tacna 598 Ayacucho 440,Piura,Piura,Piura,Lexmark,Contrato 2021
268,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Mcdo Modelo Piura,Atencion al Cliente,MX722adhe,7464102024161,118.206.102.68,av Sanchez Cerro 1234,Piura,Piura,Piura,Lexmark,Contrato 2021
268,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Mcdo Modelo Piura,Atencion al Cliente,MX722adhe,74641020241DC,118.206.102.69,av Sanchez Cerro 1234,Piura,Piura,Piura,Lexmark,Contrato 2021
269,Banca Comercial,Gt Centro,Gt Centro,Lima,Agencia El Agustino,Plataforma,MX722adhe,746410202417W,118.206.104.68,av Riva Aguero 1400,El Agustino,Lima,Lima,Lexmark,Contrato 2021
269,Banca Comercial,Gt Centro,Gt Centro,Lima,Agencia El Agustino,Gerencia,MX722adhe,746410202418X,118.206.104.69,av Riva Aguero 1400,El Agustino,Lima,Lima,Lexmark,Contrato 2021
270,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Talara,Sub Gerencia,MX722adhe,7464102024168,118.206.106.68,Centro Civico 159,Pariñas,Talara,Piura,Lexmark,Contrato 2021
270,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Talara,Plataforma,MX722adhe,74641050242RV,118.206.106.69,Centro Civico 159,Pariñas,Talara,Piura,Lexmark,Contrato 2021
271,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Paita Piura,Plataforma,MX722adhe,746410202415R,118.206.108.68,Jr Junin 263,Paita,Paita,Piura,Lexmark,Contrato 2021
271,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Paita Piura,Plataforma,MX722adhe,746410202415L,118.206.108.69,Jr Junin 263,Paita,Paita,Piura,Lexmark,Contrato 2021
272,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Provincia,Agencia Nuevo Chimbote,Operaciones,MX722adhe,7464111124770,118.206.110.68,Prog Vivienda 1era Etapa Unid U1,Nuevo Chimbote,Santa,Ancash,Lexmark,Contrato 2021
272,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Provincia,Agencia Nuevo Chimbote,Gerencia,MX722adhe,7464049023WXR,118.206.110.69,Prog Vivienda 1era Etapa Unid U1,Nuevo Chimbote,Santa,Ancash,Lexmark,Contrato 2021
273,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Lima,Agencia Huaral,Ventanilla,MX722adhe,7464103024213,118.206.112.68,c Derecha 370,Huaral,Huaral,Lima,Lexmark,Contrato 2021
273,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Lima,Agencia Huaral,Comercial,MX722adhe,74641030241ZG,118.206.112.69,c Derecha 370,Huaral,Huaral,Lima,Lexmark,Contrato 2021
274,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Sullana,Atencion al Cliente,MX722adhe,74641050242TL,118.206.114.68,Jr San Martin 900,Sullana,Sullana,Piura,Lexmark,Contrato 2021
274,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Sullana,Atencion al Cliente,MX722adhe,74641050242TC,118.206.114.69,Jr San Martin 900,Sullana,Sullana,Piura,Lexmark,Contrato 2021
275,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Lima,Agencia Huacho,Sub Gerencia,MX722adhe,74641030241Z7,118.206.116.68,av 28 de Julio 391,Huacho,Huaura,Lima,Lexmark,Contrato 2021
275,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Lima,Agencia Huacho,Plataforma,MX722adhe,74641050242W6,118.206.116.69,av 28 de Julio 391,Huacho,Huaura,Lima,Lexmark,Contrato 2021
276,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Lima,Agencia Barranca,Plataforma,MX722adhe,74641101246DP,118.206.118.68,av Jose Galvez 285,Barranca,Barranca,Lima,Lexmark,Contrato 2021
276,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Lima,Agencia Barranca,Banca Negocio,MX722adhe,74641101246FV,118.206.118.69,av Jose Galvez 285,Barranca,Barranca,Lima,Lexmark,Contrato 2021
277,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Cajamarca,Banca Negocio,MX722adhe,746410202417R,118.206.120.68,Jr Tarapaca 719 721,Cajamarca,Cajamarca,Cajamarca,Lexmark,Contrato 2021
277,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Cajamarca,Banca Personal,MX722adhe,746410202419C,118.206.120.69,Jr Tarapaca 719 721,Cajamarca,Cajamarca,Cajamarca,Lexmark,Contrato 2021
278,Banca Empresa Y Corporativa,Gerencia Regional Be 1,Gerencia Regional Be 1,Provincia,Banca Empresa Piura,Plataforma,MX722adhe,7464103024228,118.205.30.72,c Tacna 598 Ayacucho 440 2 P,Piura,Piura,Piura,Lexmark,Contrato 2021
278,Banca Empresa Y Corporativa,Gerencia Regional Be 1,Gerencia Regional Be 1,Provincia,Banca Empresa Piura,Sub Gerencia,MX722adhe,746410202418W,118.205.30.73,c Tacna 598 Ayacucho 440 2 P,Piura,Piura,Piura,Lexmark,Contrato 2021
279,Banca Empresa Y Corporativa,Gerencia Regional Be 1,Gerencia Regional Be 1,Provincia,Banca Empresa Chiclayo,Atencion al Cliente,MX722adhe,74641050242W4,118.205.32.73,av Balta 651 2 P,Chiclayo,Chiclayo,Lambayeque,Lexmark,Contrato 2021
280,Banca Empresa Y Corporativa,Gerencia Regional Be 1,Gerencia Regional Be 1,Provincia,Banca Empresa Trujillo,Banca Empresa,MS826de,4064939019DLV,118.205.2.75,Jr Francisco Pizarro 620,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
280,Banca Empresa Y Corporativa,Gerencia Regional Be 1,Gerencia Regional Be 1,Provincia,Banca Empresa Trujillo,Banca Empresa,MX722adhe,7464103024212,118.205.2.73,Jr Francisco Pizarro 620,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
280,Banca Empresa Y Corporativa,Gerencia Regional Be 1,Gerencia Regional Be 1,Provincia,Banca Empresa Trujillo,Banca Empresa,MX722adhe,746410302421N,118.205.2.74,Jr Francisco Pizarro 620,Trujillo,Trujillo,La Libertad,Lexmark,Contrato 2021
281,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Jaen,Sub Gerencia,MX722adhe,746410302421H,118.206.122.68,c San Martin 1499,Jaen,Jaen,Cajamarca,Lexmark,Contrato 2021
281,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Jaen,Banca Empresa,MX722adhe,746410302420T,118.206.122.69,c San Martin 1499,Jaen,Jaen,Cajamarca,Lexmark,Contrato 2021
281,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Jaen,Plataforma,MX722adhe,7464049023WZH,118.206.122.70,c San Martin 1499,Jaen,Lima,Cajamarca,Lexmark,Contrato 2021
284,Red Comercial,Division Lima Norte,Oficina Plaza Lima Norte,Lima,Agencia Plaza Lima Norte,Sub Gerencia,MX722adhe,746410202419T,118.206.126.68,av Cruce Tomas Valle,Independencia,Lima,Lima,Lexmark,Contrato 2021
284,Red Comercial,Division Lima Norte,Oficina Plaza Lima Norte,Lima,Agencia Plaza Lima Norte,Caja,MX722adhe,746410202419V,118.206.126.69,av Cruce Tomas Valle,Independencia,Lima,Lima,Lexmark,Contrato 2021
285,Banca Empresa Y Corporativa,Gerencia Regional Be 1,Gerencia Regional Be 1,Provincia,Agencia Chiclayo,Working Subdivisión,MX722adhe,74641050242RC,118.205.32.74,av Balta 651 2 P,Chiclayo,Chiclayo,Lambayeque,Lexmark,Contrato 2021
285,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Chiclayo,Sala Prime,MX432adwe,701934240K204,118.205.32.72,av Balta 651,Chiclayo,Chiclayo,Lambayeque,Lexmark,Contrato 2021
285,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Chiclayo,Atencion al Cliente,MX722adhe,74641050242WK,118.205.32.68,av Balta 651,Chiclayo,Chiclayo,Lambayeque,Lexmark,Contrato 2021
285,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Chiclayo,Atencion al Cliente,MX722adhe,74641050242V5,118.205.32.69,av Balta 651,Chiclayo,Chiclayo,Lambayeque,Lexmark,Contrato 2021
285,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Chiclayo,Atencion al Cliente,MX722adhe,74641050242RD,118.205.32.70,av Balta 651,Chiclayo,Chiclayo,Lambayeque,Lexmark,Contrato 2021
286,Banca Comercial,Gt Surco La Molina,Gt Surco La Molina,Lima,Agencia Los Alamos,Sala Prime,MX432adwe,701941340M400,118.206.128.69,av Primavera 2180 2190,Santiago de Surco,Lima,Lima,Lexmark,Contrato 2021
286,Banca Comercial,Gt Surco La Molina,Gt Surco La Molina,Lima,Agencia Los Alamos,Plataforma,MX722adhe,74641020241D9,118.206.128.68,av Primavera 2180 2190,Santiago de Surco,Lima,Lima,Lexmark,Contrato 2021
287,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Mcdo Modelo,Atencion al Cliente,MX722adhe,7464102024174,118.206.130.68,av Arica 1030-1032,Chiclayo,Chiclayo,Lambayeque,Lexmark,Contrato 2021
287,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Mcdo Modelo,Atencion al Cliente,MX722adhe,7464102024179,118.206.130.69,av Arica 1030-1032,Chiclayo,Chiclayo,Lambayeque,Lexmark,Contrato 2021
288,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Moshoqueque,Sub Gerencia,MX722adhe,74641020241BL,118.206.132.68,Av El Dorado 1209,Jose Leonardo Ortiz,Chiclayo,Lambayeque,Lexmark,Contrato 2021
288,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Moshoqueque,Ventanilla,MX722adhe,746410202418T,118.206.132.69,Av El Dorado 1209,Jose Leonardo Ortiz,Chiclayo,Lambayeque,Lexmark,Contrato 2021
291,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Pacasmayo,Area Ejecutiva,MX722adhe,746410302420D,118.206.134.68,c Dos de Mayo 9,Pacasmayo,Pacasmayo,La Libertad,Lexmark,Contrato 2021
291,Banca Comercial,Gt Norte,Gt Norte,Provincia,Agencia Pacasmayo,Sub Gerencia,MX722adhe,746410302421B,118.206.134.69,c Dos de Mayo 9,Pacasmayo,Pacasmayo,La Libertad,Lexmark,Contrato 2021
295,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Provincia,Agencia Chimbote,Sala Prime,MX432adwe,701934240K1ZM,118.205.34.71,av Francisco Bolognesi 696,Chimbote,Santa,Ancash,Lexmark,Contrato 2021
295,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Provincia,Agencia Chimbote,Operaciones,MX722adhe,7464939022PVF,118.205.34.68,av Francisco Bolognesi 696,Chimbote,Santa,Ancash,Lexmark,Contrato 2021
295,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Provincia,Agencia Chimbote,Sub Gerencia,MX722adhe,7464939022R51,118.205.34.69,av Francisco Bolognesi 696,Chimbote,Santa,Ancash,Lexmark,Contrato 2021
295,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Provincia,Agencia Chimbote,Comercial,MX722adhe,7464939022P7N,118.205.34.70,av Francisco Bolognesi 696,Chimbote,Santa,Ancash,Lexmark,Contrato 2021
297,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Provincia,Agencia Mercado Mod Chimbote,Gerencia,MX722adhe,7464939022PTT,118.205.36.68,Ca Espinar 600 JR ELÍAS AGUIRRE 498,Chimbote,Santa,Ancash,Lexmark,Contrato 2021
297,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Provincia,Agencia Mercado Mod Chimbote,Gerencia,MX722adhe,7464939022PBR,118.205.36.69,Ca Espinar 600 JR ELÍAS AGUIRRE 498,Chimbote,Santa,Ancash,Lexmark,Contrato 2021
299,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Bellavista San Martin,Sub Gerencia,MX722adhe,746410202417Y,118.206.136.68,Jr Augus B Leguia Esq Jr San Martin,Bellavista,Bellavista,San Martin,Lexmark,Contrato 2021
299,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Bellavista San Martin,Operaciones,MX722adhe,7464102024182,118.206.136.69,Jr Augus B Leguia Esq Jr San Martin,Bellavista,Bellavista,San Martin,Lexmark,Contrato 2021
300,Banca Comercial,Gt Sur,Gt Sur,Provincia,Agencia Global Wealth,Operaciones,CX625adhe,7529902141TT5,118.206.34.71,av Ejercito 710 2 P,Yanahuara,Arequipa,Arequipa,Lexmark,Contrato 2021
301,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Iquitos,Sala Prime,MX432adwe,701934240K1Z1,118.205.38.70,Sargento Lores 171,Iquitos,Maynas,Loreto,Lexmark,Contrato 2021
301,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Iquitos,Plataforma,MX722adhe,74641101246HV,118.205.38.68,Sargento Lores 171,Iquitos,Maynas,Loreto,Lexmark,Contrato 2021
301,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Iquitos,Atencion al Cliente,MX722adhe,746411112474N,118.205.38.69,Sargento Lores 171,Iquitos,Maynas,Loreto,Lexmark,Contrato 2021
301,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Iquitos,Sub Gerencia,MX722adhe,74641101246H4,118.205.38.71,Sargento Lores 171,Iquitos,Maynas,Loreto,Lexmark,Contrato 2021
304,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Belen,Sub Gerencia,MX722adhe,74641101246CF,118.205.40.68,Jr Prospero 1171,Iquitos,Maynas,Loreto,Lexmark,Contrato 2021
304,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Belen,Plataforma,MX722adhe,74641101246KG,118.205.40.69,Jr Prospero 1171,Iquitos,Maynas,Loreto,Lexmark,Contrato 2021
306,Banca Comercial,Gt Lima Centro,Gt Lima Centro,Provincia,Agencia Pucallpa,Sala Prime,MX432adwe,701934240K1Z3,118.205.42.72,Ucayali Esq Raymondi 699,Calleria,Coronel Portillo,Ucayali,Lexmark,Contrato 2021
306,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Pucallpa,Plataforma,MX722adhe,74641050242TG,118.205.42.68,Ucayali Esq Raymondi 699,Calleria,Coronel Portillo,Ucayali,Lexmark,Contrato 2021
306,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Pucallpa,Banca Empresa,MX722adhe,74641050242TF,118.205.42.69,Ucayali Esq Raymondi 699,Calleria,Coronel Portillo,Ucayali,Lexmark,Contrato 2021
306,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Pucallpa,Banca Ejecutiva,MX722adhe,7464102024175,118.205.42.70,Ucayali Esq Raymondi 699,Calleria,Coronel Portillo,Ucayali,Lexmark,Contrato 2021
306,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Pucallpa,Banca Ejecutiva,MX722adhe,746410202416F,118.205.42.71,Ucayali Esq Raymondi 699,Calleria,Coronel Portillo,Ucayali,Lexmark,Contrato 2021
307,Banca Empresa Y Corporativa,Gerencia Regional Be 1,Gerencia Regional Be 1,Lima,Banca Empresa Lima Norte,Sub Gerencia,MX722adhe,7464049023WW2,118.206.138.68,av Industrial 3515 3517,Independencia,Lima,Lima,Lexmark,Contrato 2021
307,Banca Empresa Y Corporativa,Gerencia Regional Be 1,Gerencia Regional Be 1,Lima,Banca Empresa Lima Norte,Plataforma,MX722adhe,746410202419Y,118.206.138.69,av Industrial 3515 3517,Independencia,Lima,Lima,Lexmark,Contrato 2021
310,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Pymes Tarapoto,Pymes,MS826de,40649380198KY,118.205.44.70,Jr Ramirez Hurtado 149,Tarapoto,San Martin,San Martin,Lexmark,Contrato 2021
310,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Tarapoto,Sala Prime,MX432adwe,701934240K1ZG,118.205.44.71,Jr Ramirez Hurtado 149,Tarapoto,San Martin,San Martin,Lexmark,Contrato 2021
310,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Tarapoto,Staf Territorial Oriente,MX522adhe,701701030LHZ8,118.205.44.74,Jr Ramirez Hurtado 149,Tarapoto,San Martin,San Martin,Lexmark,Contrato 2021
310,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Tarapoto,Sub Gerencia,MX722adhe,74641050242RN,118.205.44.68,Jr Ramirez Hurtado 149,Tarapoto,San Martin,San Martin,Lexmark,Contrato 2021
310,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Tarapoto,Atencion al Cliente,MX722adhe,746410202415K,118.205.44.72,Jr Ramirez Hurtado 149,Tarapoto,San Martin,San Martin,Lexmark,Contrato 2021
310,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Tarapoto,Atencion Al Cliente,MX722adhe,746410202416L,118.205.44.73,Jr Ramirez Hurtado 149,Tarapoto,San Martin,San Martin,Lexmark,Contrato 2021
310,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Tarapoto,Plataforma,MX722adhe,74641050242RP,118.205.44.69,Jr Ramirez Hurtado 149,Tarapoto,San Martin,San Martin,Lexmark,Contrato 2021
311,Banca Empresa Y Corporativa,Gerencia Regional Be 2,Gerencia Regional Be 2,Provincia,Banca Empresa Chincha,Banca Empresa,MX722adhe,746410202416D,118.205.22.70,MCAL  BENAVIDES 117 125  2 PISO,Chincha Alta,Chincha,Ica,Lexmark,Contrato 2021
311,Banca Empresa Y Corporativa,Gerencia Regional Be 2,Gerencia Regional Be 2,Provincia,Banca Empresa Chincha,Banca Empresa,MX722adhe,746410202417G,118.205.22.71,MCAL  BENAVIDES 117 125  2 PISO,Chincha Alta,Chincha,Ica,Lexmark,Contrato 2021
312,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Lima,Agencia Pro,Sub Gerencia,MX722adhe,746410202417V,118.206.142.68,av Alfredo Mendiola 7859,Los Olivos,Lima,Lima,Lexmark,Contrato 2021
312,Banca Comercial,Gt Norte Chico,Gt Norte Chico,Lima,Agencia Pro,Banca Negocio,MX722adhe,74641020241B9,118.206.142.69,av Alfredo Mendiola 7859,Los Olivos,Lima,Lima,Lexmark,Contrato 2021
314,Banca Comercial,Gt Oriente,Gt Oriente,Provincia,Agencia Moyobamba,Operaciones,MX722adhe,7464103024217,118.206.144.68,Jr San Martin 490 494,Moyobamba,Moyobamba,San Martin,Lexmark,Contrato 2021
