fines ,C.C.,Direcci—n IP Nacar
SAN LUIS,358,118.5.153.210
BELEN IQUITOS,304,118.67.64.210
7 DE June,233,118.66.36.210
BAGUA GRANDE,81,118.63.196.210
BARRANCA,276,118.66.209.210
BARRANCO,114,118.64.73.210
BASE NAVAL,165,118.65.21.210
BIENESTAR DE LA MARINA,344,118.67.225.210
BOLOGNESI,427,118.69.45.210
BUSTAMANTE Y RIVERO,717,118.73.180.210
C.C. EL QUINDE,248,118.66.97.210
CAJAMARCA,277,118.66.212.210
PRO,312,118.67.96.210
PUCALLPA,306,118.67.74.210
PUENTE PIEDRA,316,118.67.112.210
PUERTO MALDONADO,263,118.66.157.210
QUILLABAMBA,218,118.65.232.210
REAL PLAZA CENTRO CIVICO,175,118.65.60.210
REAL PLAZA CHICLAYO,348,118.67.241.210
REAL PLAZA CUSCO,83,118.63.204.210
REAL PLAZA HUANCAYO,266,118.66.168.210
REAL PLAZA JULIACA,584,118.71.161.210
REAL PLAZA PIURA,667,118.72.237.210
REAL PLAZA SALAVERRY,94,118.63.249.210
REAL PLAZA TRUJILLO,918,118.76.217.210
LAS BAMBAS,976,118.246.13.210
PLAZA DE ARMAS HUANUCO,827,118.75.108.210
RICARDO PALMA,368,118.68.64.210
RINCONADA,145,118.64.196.210
SALAMANCA,136,118.64.161.210
SAMUEL ALCAZAR,177,118.65.69.210
SAN ANTONIO,119,118.64.93.210
SAN BORJA,152,118.64.226.210
SAN BORJA SUR,615,118.72.28.210
SAN CAMILO,221,118.65.244.210
SAN FELIPE,184,118.65.97.210
SAN FELIPE COMAS,752,118.74.65.210
SAN ISIDRO,486,118.70.24.210
SAN JUAN DE MIRAFLORES,135,118.64.156.210
SAN MARTIN DE PORRES,196,118.65.145.210
SAN MARTIN ICA,203,118.65.173.210
SAN RAFAEL,609,118.72.5.210
SANTA ANITA,183,118.65.94.210
SANTA CRUZ,716,118.73.177.210
SATIPO,628,118.72.80.210
SEBASTIAN BARRANCA,659,118.72.206.210
SEDAPAL,627,118.72.77.210
SEDE HOSPITAL ALMENARA,331,118.67.172.210
SEPARADORA INDUSTRIAL,614,118.72.25.210
STRIP CENTER LOS PROCERES,521,118.70.164.210
PASEO MEGA PIURA,245,118.245.21.210
SULLANA,274,118.66.200.210
TACNA,232,118.66.34.210
TALARA,270,118.66.184.210
PUNO,229,118.66.20.210
CERRO COLORADO,778,118.74.208.210
CHEPEN,247,118.66.92.210
CHINCHA,215,118.65.220.210
MERCADO MODELO CHIMBOTE,297,118.67.36.210
TARAPOTO,310,118.67.90.210
TARMA,643,118.72.140.210
TINGO MARIA,318,118.67.120.210
TINTAYA,205,118.65.180.210
TRUJILLO,249,118.66.102.210
TUMBES,265,118.66.164.210
UNIVERSIDAD CATOLICA,120,118.64.97.210
VALLE SHARON,857,118.75.229.210
CERRO DE PASCO,321,118.67.132.210
LA OROYA,236,118.66.48.210
MCDO MAYORISTA TRUJILLO,251,118.66.108.210
NUEVO CHIMBOTE,272,118.66.192.210
MCDO MODELO DE CHICLAYO,287,118.66.253.210
MCDO MODELO DE PIURA,268,118.66.176.210
OVALO PAPAL,843,118.75.172.210
MIRAFLORES AREQUIPA,222,118.65.248.210
PARQUE INDUSTRIAL AREQUIPA,226,118.66.8.210
VILLA MARINA,137,118.64.165.210
WANCHAQ,201,118.65.165.210
YANAHUARA,908,118.76.177.210
YURIMAGUAS,324,118.67.144.210
CAMANA AREQUIPA,225,118.66.4.210
HUACHO,275,118.66.204.210
OPEN PLAZA PUCALLPA,982,118.77.216.210
HUANCAYO,235,118.66.46.210
HUANUCO,210,118.65.200.210
HUARAL,273,118.66.197.210
HUARAZ ANCASH,260,118.66.144.210
HUAYCAN,484,118.70.17.210
HUSARES DE JUNIN,246,118.66.88.210
PACASMAYO,291,118.67.12.210
ZARATE,139,118.64.173.210
ABANCAY APURIMAC,365,118.68.52.210
HUNTER AQP AREQUIPA,159,118.64.252.210
MALL PLAZA SAN JUAN DE LURIGANCHO,421,118.69.20.210
MAGISTERIO CUSCO,224,118.66.0.210
OFICINA MANTAS,200,118.65.163.210
HUAYRUROPATA,208,118.65.192.210
CA„ETE,211,118.65.204.210
EL TAMBO,237,118.66.52.210
EXPRESS BELLAVISTA,299,118.67.44.210
MALL AVENTURA PLAZA AREQUIPA,764,"118,245,108,210"
EXPRESS CHOTA,648,118.72.160.210
MALL PLAZA TRUJILLO,900,118.76.144.210
JAEN,281,118.66.228.210
LA MERCED,238,118.66.56.210
OPEN PLAZA PIURA,554,118.245.96.210
SALAVERRY,732,118.73.240.210
PARDO,156,118.64.240.210
AV EL EJERCITO,426,118.245.9.210
28 DE July,340,118.67.208.210
CC REAL PLAZA SANTA CLARA,750,118.245.86.210
CC RISSO,153,118.64.228.210
CC TRIGAL,751,118.74.60.210
BEC LA MOLINA (EX CAMACHO),347,118.67.236.210
BEC LIMA,349,118.67.244.210
BEC MIRAFLORES,378,118.68.104.210
BEC CALLAO,350,118.67.248.210
BEC CHACARILLA,380,118.68.112.210
BEC AREQUIPA,239,118.66.61.210
BEC CHICLAYO,279,118.66.220.210
BEC CHINCHA,311,118.67.92.210
BEC COLONIAL,362,118.68.40.210
BEC CUSCO,204,118.65.176.210
BEC HUANCAYO,967,118.77.156.210
BEC IQUITOS,305,118.67.69.210
BEC LIMA NORTE,307,118.67.76.210
BEC PIURA,278,118.66.216.210
BEC SANTA CRUZ,377,118.68.102.210
BEC TRUJILLO,280,118.66.224.210
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
