VLAN_CODE,VLAN_NAME,IP,MODELO,SERIE,UBICACION,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,TIPO
732,732 - Ag. Salaverry,118.207.50.69,MX432adwe,701941340M3RC,Sala Prime,av Salaverry 3230,Magdalena del Mar,Lima,Lima,Contrato 2021
732,732 - Ag. Salaverry,118.207.50.68,MX722adhe,74641101246K5,Sub Gerencia,av Salaverry 3230,Magdalena del Mar,Lima,Lima,Contrato 2021
737,737 - Ag. Staff División Miraflores,118.205.6.71,MX722adhe,74641020241BM,Sub Gerencia,"Av. Larco 631, Miraflores (Shell) (Parque Keneddy)",Miraflores,Lima,Lima,Contrato 2021
750,750 - Ag. CC Real Plaza Santa Clara,118.207.56.68,MX722adhe,74641101246DV,Sub Gerencia,av Nicolas Ayllon 8694,Ate,Lima,Lima,Contrato 2021
750,750 - Ag. CC Real Plaza Santa Clara,118.207.56.69,MX722adhe,74641101246GX,Banca Negocio,av Nicolas Ayllon 8694,Ate,Lima,Lima,Contrato 2021
751,751 - Ag. CC El Trigal,118.207.58.70,MX432adwe,701941340M40B,Sala Prime,c los Antares 318,Santiago de Surco,Lima,Lima,Contrato 2021
751,751 - Ag. CC El Trigal,118.207.58.68,MX722adhe,746411112475D,Sub Gerencia,c los Antares 318,Santiago de Surco,Lima,Lima,Contrato 2021
751,751 - Ag. CC El Trigal,118.207.58.69,MX722adhe,746411112477D,Banca Negocio,c los Antares 318,Santiago de Surco,Lima,Lima,Contrato 2021
752,752 - Ag. San Felipe Comas,118.207.60.68,MX722adhe,746410202419R,Ventanilla,AV UNIVERSITARIA 10583 10587,Comas,Lima,Lima,Contrato 2021
752,752 - Ag. San Felipe Comas,118.207.60.69,MX722adhe,7464049023WZP,Gerencia,AV UNIVERSITARIA 10583 10587,Comas,Lima,Lima,Contrato 2021
760,760 - Ag. Floresta,118.207.64.68,MX722adhe,74641020241BF,Sub Gerencia,av Primavera 606,Santiago de Surco,Lima,Lima,Contrato 2021
760,760 - Ag. Floresta,118.207.64.69,CX625adhe,7529902141TTB,Plataforma,av Primavera 606,Santiago de Surco,Lima,Lima,Contrato 2021
763,763 - Ag. El Pedregal,118.207.66.68,MX722adhe,7464939022P89,Sub Gerencia,c Zamacola Mz G Lote 1 Urb,Majes,Caylloma,Arequipa,Contrato 2021
763,763 - Ag. El Pedregal,118.207.66.69,MX722adhe,7464939022PBT,Atencion al Cliente,c Zamacola Mz G Lote 1 Urb,Majes,Caylloma,Arequipa,Contrato 2021
764,764 - Ag. Mall Aventura Plaza Arequipa,118.207.68.68,MX722adhe,7464939022P9T,Sub Gerencia,av Porongoche 500,Arequipa,Arequipa,Arequipa,Contrato 2021
764,764 - Ag. Mall Aventura Plaza Arequipa,118.207.68.69,MX722adhe,7464939022PWP,Plataforma,av Porongoche 500,Arequipa,Arequipa,Arequipa,Contrato 2021
766,766 - Ag. Premium el Polo,118.207.70.68,CX625adhe,75299291450T3,Sub Gerencia,av el Polo 670 7 P Block C,Santiago de Surco,Lima,Lima,Contrato 2021
766,766 - Ag. Premium el Polo,118.207.70.69,MX722adhe,7464939022PVD,Comercial,av el Polo 670 7 P Block C,Santiago de Surco,Lima,Lima,Contrato 2021
766,766 - Ag. Premium el Polo,118.207.70.70,MX722adhe,7464939022PC4,Recepcion,av el Polo 670 7 P Block C,Santiago de Surco,Lima,Lima,Contrato 2021
778,778 - Ag. Cerro Colorado,118.207.72.68,MX722adhe,7464939022R34,Sub Gerencia,av Aviacion 602,Cerro Colorado,Arequipa,Arequipa,Contrato 2021
778,778 - Ag. Cerro Colorado,118.207.72.69,MX722adhe,7464939022R1P,Plataforma,av Aviacion 602,Cerro Colorado,Arequipa,Arequipa,Contrato 2021
