VLAN_CODE,VLAN_NAME,IP,MODELO,SERIE,UBICACION,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,TIPO
112,112 - Ag. México,118.205.120.68,MX722adhe,746410302420V,Plataforma,av Mexico 568,La Victoria,Lima,Lima,Contrato 2021
112,112 - Ag. México,118.205.120.69,MX722adhe,74641030241ZC,Plataforma,av Mexico 568,La Victoria,Lima,Lima,Contrato 2021
113,113 - Ag. Ingenieria,118.205.122.68,MX722adhe,74641101246DX,Sub Gerencia,Alfredo Mendiola 300,San Martin de Porres,Lima,Lima,Contrato 2021
113,113 - Ag. Ingenieria,118.205.122.69,MX722adhe,746411112474K,Plataforma,Alfredo Mendiola 300,San Martin de Porres,Lima,Lima,Adenda 5
114,114 - Ag. Barranco,118.205.124.70,MX522adhe,701701030LHZL,Banca Personal,av Grau 414,Barranco,Lima,Lima,Adenda 5
114,114 - Ag. Barranco,118.205.124.68,MX722adhe,74641101246BY,Sub Gerencia,av Grau 414,Barranco,Lima,Lima,Adenda 5
114,114 - Ag. Barranco,118.205.124.69,MX722adhe,74641101246LX,Banca Personal,av Grau 414,Barranco,Lima,Lima,Contrato 2021
115,115 - Ag. La Victoria,118.205.126.68,MX722adhe,7464103024211,Sub Gerencia,av Manco Capac 300,La Victoria,Lima,Lima,Adenda 5
115,115 - Ag. La Victoria,118.205.126.70,MX722adhe,74641020241CV,Jefe de Atencion al cliente,av Manco Capac 300,La Victoria,Lima,Lima,Adenda 5
116,116 - Ag. Comas,118.205.128.68,MS826de,40649370197T8,Sub Gerencia,AV TUPAC AMARU 1175,Comas,Lima,Lima,Contrato 2021
116,116 - Ag. Comas,118.205.128.69,MX722adhe,74641020241CB,Banca Negocio,AV TUPAC AMARU 1175,Comas,Lima,Lima,Adenda 5
117,117 - Ag. Larco Tarata,118.205.6.70,MX432adwe,701941340M3ZY,Sala Prime,av Larco 631,Miraflores,Lima,Lima,Contrato 2021
117,117 - Ag. Larco Tarata,118.205.6.68,MX722adhe,7464049023WWD,Plataforma,av Larco 631,Miraflores,Lima,Lima,Adenda 5
117,117 - Ag. Larco Tarata,118.205.6.69,MX722adhe,7464049023WVF,Plataforma,av Larco 631,Miraflores,Lima,Lima,Contrato 2021
118,118 - Ag. Bolivar,118.205.130.69,MX522adhe,701701130LPNX,Sala Prime,Av Bolivar 1188 1190,Pueblo Libre,Lima,Lima,Adenda 5
118,118 - Ag. Bolivar,118.205.130.68,MX722adhe,74641111247BX,Sub Gerencia,Av Bolivar 1188 1190,Pueblo Libre,Lima,Lima,Adenda 5
119,119 - Ag. San Antonio,118.205.132.68,MX722adhe,7464049023WVZ,Sub Gerencia,av 28 de Julio 1297,Miraflores,Lima,Lima,Adenda 5
119,119 - Ag. San Antonio,118.205.132.69,MX722adhe,7464049023WX4,Comercial,av 28 de Julio 1297,Miraflores,Lima,Lima,Contrato 2021
